id,followers_count,friends_count,screen_name
794754703334612992,2,38,luthfiya_khayla
1155893966,18,81,SolusiBangunan
793455872693374976,7,148,danielvargasvi4
794753553927704577,3,258,JoseHerrera1203
794563388223340544,3,117,elvina2303
794753299392110593,2,21,barryclare375
794747531330809856,2,75,futboltotalMR
778857878589407232,107,797,calum174
794751698145316869,20,89,JoseGre14688477
794750632498515968,2,82,7kash28
794547362081476608,4,81,Prince80113806
794750697917054976,6,86,HARSHZAVERI4
794750606745419776,6,56,BeltranzitoCort
794750561740427265,4,107,HyqalAnuar01
2457017992,54,314,JBisum
794749793637699585,4,99,kyle02ferguson1
198675643,357,308,baxterrodman
3244819422,13,67,MrKomoto1
794747818619600896,9,190,JoseGam11
793304849441955840,1,8,pratin_jitaree
794747250681315328,11,90,Ajayyadav917990
794747955005820928,3,100,cidaferreira048
794443628118736897,17,112,edwin96182409
794746103707144192,2,54,Princeleo1020
794618822162518016,9,98,mosibudi_matema
794730665153437696,2,39,Ryan96450657
4111122195,6,178,alsayedghaly
794745756078870528,2,97,RamonRamonjmz
789111632051990528,7,157,CesarFa96447372
794740201755000834,17,65,Taj_Bashanta
2981062761,33,310,lagrintaa12
2330451060,117,155,JohariRahim
794745749145812992,2,63,JoaoVitorMeloM1
794743133183438848,2,137,liver9256
782641756781158400,46,375,katjunior1
792781129321484288,10,185,Sebastianorduz9
794743281225728000,9,80,Mayitagi1912
794744514216857600,13,110,betechomomi
1496259817,36,1586,OTOMJERRY1
779804576471928833,4,91,JRODRIGO1404
794742659311169537,6,121,TomasRojasToma2
794744305831309312,2,44,Zahidabbas2531
794744043032821760,5,243,dion_wehrsig
1789838754,64,337,claytonray1291
794743051000418304,1,98,xandefire
794743078493880321,26,303,shahilDJ1
794731753470619648,4,130,Ramawtarprasad3
146046531,37,33,ashish_prince90
794742431677812736,5,73,tylerhillier10
794741603172806656,3,160,ZakiGhulami
782103730749444096,16,97,kakuislie
794741951048413184,6,100,RiciLeakss
636034296,11,258,makeuptipseva
793867901145079809,45,538,BryanmJose
3173779512,496,49,missygs_
794724543424331776,18,298,noticiasnotici5
794740820914171904,2,14,esteban32123
794741148858322944,2,62,keitu_evans
794739158501720065,4,82,AnthooDavid
794737725798694912,5,37,uzor22bb
794737997237264384,2,44,fg325377gmail
794739347299909632,16,100,harvey96x
794740137242591232,2,52,masalesah17
385673166,126,405,Soccerboii_
794737588288491520,2,35,petercarroll958
786593461776551936,5,137,canache_danny
794735193122869248,18,139,KarosanidzeS
2947513774,225,246,Mateussmc10
794738610847227904,0,48,jmenjon17
793380888176316417,2,78,Nguynnhng11
794738611274989568,13,153,LamaSukradhoj
712808537651417088,40,978,jeven_karas
542855193,112,91,Josh_mcevoy96
393045798,220,228,RoryBramford
794737031435976704,6,55,manzeanodekzman
794736118851833856,10,77,Farhanakhtar672
794734604049641474,21,134,Ever2401
327630914,63,554,Mardoqueu_77
632109579,24,110,CIChighSchool
794733659324551168,1,63,parvesparves1
794733257816473600,1,51,GhizlaneGhazall
2869873140,378,356,ThisIzGio
2436408026,21,199,carlos990412
794732891901165568,2,69,Josemig05625728
460345544,913,627,liperoecker
794732279352283136,7,143,MdAslam62657883
794732730495959040,22,196,zibiri_m
794732480347697152,1,75,adrianaingerso3
794730506566909952,1,50,morad_belarabi
946899379,11,269,mickeymouse_min
794729197256265729,13,121,ericdasa23
794731648822681600,0,40,WarenCodi
794730898545639424,16,224,sanamgaja
2496472002,9,20,Eddieong1234Ong
794724741684805632,6,45,PatJoeJodry99
779941624159674368,10,215,ndaruAlvais
